Date: 2026-03-22
Time: 19:32:23
Cycles: 5
Sample Count Command: 200000
Calibration File: calibration\Calibration.txt


Frequency_Hz,Avg_Resistance_Magnitude_Ohm,Avg_Resistance_Phase_deg,Avg_Real_V,Avg_Imag_V,Avg_Real_I,Avg_Imag_I
0.05,0.101249449,-0.065059465,0.000341907,-0.000189588,0.004919712,-0.002773707
0.15,0.102169089,-0.037470917,-0.000149797,-0.000018006,-0.002178357,-0.000253311
0.25,0.102391999,-0.088004076,-0.000017807,-0.000094643,-0.000255177,-0.001375391
0.45,0.101819576,0.008830977,0.000033260,0.000106309,0.000480405,0.001557179
1.05,0.102084492,0.065919849,-0.000067140,0.000041189,-0.000973205,0.000602954
2.05,0.102052145,0.027402358,0.000060016,0.000045594,0.000871191,0.000666802
4.05,0.102250611,0.080283366,0.000186430,-0.000044694,0.002724616,-0.000665601
10.05,0.102150599,0.013165136,-0.000335697,-0.000015071,-0.004885103,-0.000193077
20.05,0.102523588,-0.074483921,-0.000072840,0.000127694,-0.001054434,0.001865937
40.05,0.101973094,0.082533503,0.000138096,0.000163297,0.001948429,0.002331015
80.05,0.101986103,0.092853315,-0.000010370,-0.000274247,-0.000044746,-0.003880771
160.05,0.102195274,0.192655149,0.000106425,-0.000128684,0.001619741,-0.001719047
320.05,0.102091420,0.385702234,-0.000129809,0.000004221,-0.001820535,-0.000193282
640.05,0.102201237,0.441125857,-0.000086587,-0.000093683,-0.000818654,-0.001598648
1000.05,0.102226022,0.685494388,0.000013744,-0.000005658,0.000218219,0.000004773
