Date: 2026-03-22
Time: 17:09:46
Cycles: 5
Sample Count Command: 200000

Frequency_Hz,Avg_Resistance_Magnitude_Ohm,Avg_Resistance_Phase_deg,Avg_Real_V,Avg_Imag_V,Avg_Real_I,Avg_Imag_I
0.05,0.069506158,0.277127180,0.000268564,-0.000086866,0.003837984,-0.001266986
0.15,0.069320238,-0.231940461,0.000067919,0.000129638,0.000985267,0.001875157
0.25,0.069209024,0.246630945,-0.000076182,0.000043117,-0.001092235,0.000639596
0.45,0.069080552,-0.263510031,-0.000361049,-0.000048400,-0.005226148,-0.000723069
1.05,0.068934583,-0.084737314,0.000106514,-0.000278358,0.001548716,-0.004035939
2.05,0.069049852,-0.010500563,0.000017804,0.000009702,0.000258362,0.000140938
4.05,0.069129693,0.216889159,0.000162010,-0.000189071,0.002329238,-0.002746688
10.05,0.069192194,0.524974203,-0.000088556,0.000075334,-0.001280277,0.001102802
20.05,0.070072166,0.420593335,-0.000208686,-0.000036344,-0.002970603,-0.000488755
40.05,0.070888442,-0.157764803,-0.000081754,0.000074843,-0.001151818,0.001041327
80.05,0.071226923,-1.338501581,-0.000010556,0.000015069,-0.000154785,0.000207206
160.05,0.071385865,-3.311246135,0.000071805,-0.000233789,0.001193333,-0.003216177
320.05,0.071374211,-6.865527621,0.000006179,0.000147717,-0.000161137,0.002064107
640.05,0.071592717,-13.907122774,-0.000020584,-0.000009431,-0.000248151,-0.000184470
1000.05,0.070666850,-22.181771173,-0.000003342,0.000005536,-0.000074591,0.000050527
