Date: 2026-03-22
Time: 17:21:23
Cycles: 5
Sample Count Command: 200000

Frequency_Hz,Avg_Resistance_Magnitude_Ohm,Avg_Resistance_Phase_deg,Avg_Real_V,Avg_Imag_V,Avg_Real_I,Avg_Imag_I
0.05,0.103002828,0.244021686,0.000558313,-0.000227792,0.005406596,-0.002233242
0.15,0.102476050,-0.036395841,-0.000220500,-0.000114480,-0.002165541,-0.001117122
0.25,0.102416985,0.247673457,0.000028858,-0.000128723,0.000259667,-0.001246324
0.45,0.102479510,-0.263192911,-0.000099881,0.000074291,-0.000973777,0.000725791
1.05,0.102144577,-0.059070793,0.000027477,0.000013185,0.000258934,0.000124712
2.05,0.102232310,-0.060845239,0.000086565,0.000169229,0.000843699,0.001660905
4.05,0.102266696,0.077673455,0.000112840,0.000213698,0.001103112,0.002084908
10.05,0.102279886,0.197109146,-0.000530608,0.000051367,-0.005191593,0.000516720
20.05,0.103510123,0.013016415,0.000191196,0.000016556,0.001830980,0.000137900
40.05,0.104081779,-0.322452392,0.000109629,0.000182975,0.001042727,0.001763056
80.05,0.104498189,-1.452404957,0.000002605,0.000334889,-0.000051425,0.003198308
160.05,0.104578111,-3.339101702,-0.000328696,0.000342920,-0.003328204,0.003088079
320.05,0.104570340,-6.831469508,-0.000041936,0.000167525,-0.000587079,0.001541514
640.05,0.105063326,-13.853032107,0.000122305,0.000097010,0.000909720,0.001175217
1000.05,0.104614230,-21.514624874,-0.000051289,-0.000046703,-0.000295701,-0.000591385
