CHARGE_PARAMS,GPIO_Control,Simulation_Mode
CHARGE_PARAMS,true,false
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-26 17:38:28.35,C,4.088,0.277880,2.335989
2025-08-26 17:38:38.35,C,4.090,0.228209,4.835939
2025-08-26 17:38:48.35,C,4.093,0.202343,6.981702
2025-08-26 17:38:58.35,C,4.096,0.183168,8.895805
2025-08-26 17:39:08.35,C,4.097,0.168504,10.647389
2025-08-26 17:39:18.35,C,4.100,0.157613,12.282846
2025-08-26 17:39:28.35,C,4.100,0.149678,13.811570
2025-08-26 17:39:38.35,C,4.100,0.143688,15.279178
2025-08-26 17:39:48.35,C,4.100,0.137698,16.688599
2025-08-26 17:39:58.35,C,4.101,0.131825,18.032236
2025-08-26 17:40:08.35,C,4.101,0.127974,19.325958
2025-08-26 17:40:18.35,C,4.101,0.120895,20.577631
