DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-20 21:40:23.18,D,3.817,-0.550564,-4.615613
2025-08-20 21:40:33.18,D,3.799,-0.550779,-10.125659
2025-08-20 21:40:43.18,D,3.786,-0.550349,-15.631531
2025-08-20 21:40:53.18,D,3.772,-0.549490,-21.129946
2025-08-20 21:41:03.18,D,3.762,-0.548200,-26.618874
2025-08-20 21:41:13.18,D,3.748,-0.547824,-32.097797
2025-08-20 21:41:23.18,D,3.739,-0.546374,-37.565105
2025-08-20 21:41:33.18,D,3.732,-0.545514,-43.021229
2025-08-20 21:41:43.18,D,3.724,-0.544117,-48.467991
2025-08-20 21:41:53.18,D,3.716,-0.543150,-53.906406
2025-08-20 21:42:03.18,D,3.711,-0.542398,-59.330566
2025-08-20 21:42:13.18,D,3.704,-0.541109,-64.750221
2025-08-20 21:42:23.18,D,3.700,-0.540733,-70.160576
2025-08-20 21:42:33.18,D,3.691,-0.537831,-75.560936
2025-08-20 21:42:43.18,D,3.686,-0.538422,-80.943436
2025-08-20 21:42:53.18,D,3.682,-0.538691,-86.332230
2025-08-20 21:43:03.18,D,3.677,-0.537993,-91.715752
2025-08-20 21:43:13.18,D,3.672,-0.537670,-97.088028
