CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,20
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V,Has_Discharge_Chip,Discharge_Current_Threshold_mA
DISCHARGE_PARAMS,250,1.00,true,100
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min,Derivative_Avg_Count
MONITOR_PARAMS,0.000100,20,60,10
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,3
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-09-08 16:25:58.06,D,2.708534,-0.295395,-2.402420
2025-09-08 16:26:08.06,D,2.390670,-0.268599,-4.771924
2025-09-08 16:26:18.07,R,0.000000,0.000000,0.000000
2025-09-08 16:26:28.07,R,0.000000,0.000000,0.000000
2025-09-08 16:26:38.07,R,0.000000,0.000000,0.000000
2025-09-08 16:26:48.07,R,0.000000,0.000000,0.000000
2025-09-08 16:26:58.07,R,0.000000,0.000000,0.000000
2025-09-08 16:27:08.07,R,0.000000,0.000000,0.000000
2025-09-08 16:27:18.07,R,0.000000,0.000000,0.000000
2025-09-08 16:27:28.07,R,0.000000,0.000000,0.000000
2025-09-08 16:27:38.07,R,0.000000,0.000000,0.000000
2025-09-08 16:27:48.07,R,0.000000,0.000000,0.000000
2025-09-08 16:27:58.07,R,0.000000,0.000000,0.000000
2025-09-08 16:28:08.07,R,0.000000,0.000000,0.000000
2025-09-08 16:28:18.07,R,0.000000,0.000000,0.000000
2025-09-08 16:28:28.07,R,0.000000,0.000000,0.000000
2025-09-08 16:28:38.07,R,0.000000,0.000000,0.000000
2025-09-08 16:28:48.07,R,0.000000,0.000000,0.000000
2025-09-08 16:28:58.07,R,0.000000,0.000000,0.000000
2025-09-08 16:29:08.07,R,0.000000,0.000000,0.000000
2025-09-08 16:29:18.07,R,0.000000,0.000000,0.000000
2025-09-08 16:29:28.07,R,0.000000,0.000000,0.000000
2025-09-08 16:29:38.07,R,0.000000,0.000000,0.000000
2025-09-08 16:29:48.07,R,0.000000,0.000000,0.000000
