CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,20
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min,Derivative_Avg_Count
MONITOR_PARAMS,0.000100,20,60,10
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,5
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-31 19:11:56.09,C,4.022371,0.562294,2.606371
2025-08-31 19:12:06.09,C,4.060682,0.561874,6.982100
2025-08-31 19:12:16.09,C,4.100777,0.561506,11.379633
2025-08-31 19:12:26.09,C,4.135965,0.575955,15.854940
2025-08-31 19:12:36.09,C,4.138587,0.527143,20.137077
2025-08-31 19:12:46.09,C,4.141931,0.492728,24.112087
2025-08-31 19:12:56.09,C,4.144273,0.461308,27.823727
2025-08-31 19:13:06.09,C,4.146170,0.438399,31.327284
2025-08-31 19:13:16.09,C,4.147564,0.420588,34.683403
2025-08-31 19:13:26.09,C,4.150074,0.409606,37.917675
2025-08-31 19:13:36.09,C,4.150185,0.394790,41.059704
2025-08-31 19:13:46.09,C,4.148791,0.385700,44.102287
2025-08-31 19:13:56.09,C,4.150464,0.374403,47.069435
2025-08-31 19:14:06.09,C,4.152025,0.365734,49.945297
2025-08-31 19:14:16.09,C,4.152471,0.359009,52.768803
2025-08-31 19:14:26.09,C,4.154367,0.355278,55.556515
2025-08-31 19:14:36.09,C,4.153921,0.347922,58.296417
2025-08-31 19:14:46.09,C,4.154423,0.342248,60.986408
2025-08-31 19:14:56.09,C,4.155818,0.339305,63.643337
2025-08-31 19:15:06.09,C,4.156041,0.334261,66.269745
2025-08-31 19:15:16.09,C,4.154702,0.330058,68.859207
2025-08-31 19:15:26.09,C,4.156543,0.326748,71.422165
2025-08-31 19:15:36.09,C,4.157547,0.321861,73.954933
2025-08-31 19:15:46.09,C,4.156932,0.316975,76.446732
2025-08-31 19:15:56.09,C,4.157937,0.313927,78.908073
2025-08-31 19:16:06.09,C,4.158271,0.311300,81.345985
2025-08-31 19:16:16.09,C,4.158327,0.307832,83.758736
2025-08-31 19:16:26.09,C,4.157659,0.303892,86.144302
2025-08-31 19:16:36.09,C,4.158495,0.300687,88.505241
2025-08-31 19:16:46.09,C,4.158494,0.297061,90.841522
2025-08-31 19:16:56.09,C,4.158661,0.293699,93.145897
2025-08-31 19:17:06.09,C,4.158383,0.290336,95.419395
2025-08-31 19:17:16.09,C,4.159442,0.288182,97.675056
2025-08-31 19:17:26.09,C,4.159609,0.285607,99.911827
2025-08-31 19:17:36.09,C,4.159442,0.283348,102.130959
2025-08-31 19:17:46.09,C,4.158661,0.279670,104.325348
