Cycles: 5
Sample Count Command: 200000

Frequency_Hz,Avg_Resistance_Magnitude_Ohm,Avg_Resistance_Phase_deg
0.05,0.234534484809,-8.98921278023
0.15,0.217221998388,-5.636856731
0.25,0.21204339938,-4.51890316779
0.45,0.207555886839,-3.52986811396
1.05,0.202981070194,-2.59774992334
2.05,0.200329156252,-2.24521769357
4.05,0.19792822415,-2.24491086187
10.05,0.193849602036,-2.81780331028
20.05,0.188677418695,-3.42525352857
40.05,0.181686364901,-3.44252009909
80.05,0.175440277611,-2.38643167299
160.05,0.171748504337,-0.584486343327
320.05,0.170139033656,1.82071087336
640.05,0.170059531825,5.49720246263
1000.05,0.171212787894,9.20841501012
